-6868.72,
-6313.25,
-6809.69,
-7483.22,
-7357.41,
-7145.29,
-7167.49,
-7246.35,
-7256.15,
-7219.19,
-7187.66,
-7170.79,
-7151.06,
-7124.54,
-7092.89,
-7057.06,
-7016.18,
-6968.54,
-6913.9,
-6852.65,
-6784.54,
-6709.7,
-6628.12,
-6539.61,
-6444.24,
-6341.77,
-6232.17,
-6115.68,
-5992.47,
-5862.76,
-5726.78,
-5584.86,
-5437.34,
-5284.56,
-5126.92,
-4964.81,
-4798.65,
-4628.9,
-4456,
-4280.41,
-4102.57,
-3922.93,
-3741.91,
-3559.95,
-3377.45,
-3194.81,
-3012.39,
-2830.56,
-2649.64,
-2469.93,
-2291.74,
-2115.32,
-1940.91,
-1768.73,
-1598.98,
-1431.83,
-1267.44,
-1105.95,
-947.456,
-792.07,
-639.869,
-490.918,
-345.268,
-202.954,
-64.0009,
71.5783,
203.781,
332.615,
458.095,
580.245,
699.095,
814.679,
927.04,
1036.22,
1142.28,
1245.26,
1345.22,
1442.22,
1536.33,
1627.59,
1716.08,
1801.85,
1884.98,
1965.52,
2043.55,
2119.12,
2192.3,
2263.16,
2331.75,
2398.14,
2462.39,
2524.56,
2584.7,
2642.88,
2699.16,
2753.59,
2806.21,
2857.1,
2906.29,
2953.84,
2999.8,
3044.22,
3087.13,
3128.6,
3168.66,
3207.35,
3244.72,
3280.81,
3315.65,
3349.29,
3381.76,
3413.09,
3443.33,
3472.51,
3500.65,
3494.99,
