1.000000,
0.999924,
0.999698,
0.999319,
0.998790,
0.998110,
0.997278,
0.996295,
0.995161,
0.993875,
0.992439,
0.990851,
0.989112,
0.987221,
0.985180,
0.982987,
0.980643,
0.978147,
0.975501,
0.972703,
0.969754,
0.966654,
0.963403,
0.960000,
0.956446,
0.952741,
0.948885,
0.944877,
0.940718,
0.936408,
0.931947,
0.927335,
0.922571,
0.917656,
0.912590,
0.907372,
0.902004,
0.896484,
0.890813,
0.884991,
0.879017,
0.872892,
0.866616,
0.860189,
0.853611,
0.846881,
0.840000,
0.832968,
0.825784,
0.818450,
0.810964,
0.803327,
0.795539,
0.787599,
0.779509,
0.771267,
0.762873,
0.754329,
0.745633,
0.736786,
0.727788,
0.718639,
0.709338,
0.699887,
0.690284,
0.680529,
0.670624,
0.660567,
0.650359,
0.640000,
0.629490,
0.618828,
0.608015,
0.597051,
0.585936,
0.574669,
0.563251,
0.551682,
0.539962,
0.528091,
0.516068,
0.503894,
0.491569,
0.479093,
0.466465,
0.453686,
0.440756,
0.427675,
0.414442,
0.401059,
0.387524,
0.373837,
0.360000,
0.346011,
0.331871,
0.317580,
0.303138,
0.288544,
0.273800,
0.258904,
0.243856,
0.228658,
0.213308,
0.197807,
0.182155,
0.166352,
0.150397,
0.134291,
0.118034,
0.101626,
0.085066,
0.068355,
0.051493,
0.034480,
0.017316,
0.000000,
