-14971.5,
-13247.2,
-14529.9,
-17137.3,
-17237.3,
-16732.9,
-16589.7,
-17072.7,
-17611.9,
-17743.6,
-17564.8,
-17381.2,
-17346.7,
-17350.3,
-17326.9,
-17264.2,
-17196.1,
-17188.8,
-17204.9,
-17202,
-17172.6,
-17121.1,
-17022.2,
-16895.5,
-16739.1,
-16555.8,
-16357.1,
-16144.5,
-15922.2,
-15699.6,
-15459,
-15195,
-14911.7,
-14609.8,
-14289.8,
-13950.9,
-13594.8,
-13221.2,
-12837.4,
-12449.3,
-12050.2,
-11639.9,
-11219.4,
-10789.8,
-10351.8,
-9907.97,
-9462.31,
-9012.01,
-8555.96,
-8100.3,
-7646.09,
-7192.22,
-6740.13,
-6290.97,
-5846.26,
-5406.71,
-4972.73,
-4544.66,
-4123.22,
-3710.39,
-3305.37,
-2907.63,
-2517.99,
-2136.95,
-1764.88,
-1401.85,
-1048.03,
-703.616,
-368.472,
-42.7337,
273.486,
580.49,
878.226,
1166.61,
1445.54,
1715.46,
1976.66,
2229.13,
2473.05,
2708.62,
2935.98,
3155.35,
3366.93,
3570.89,
3767.34,
3956.57,
4138.84,
4314.37,
4483.24,
4645.66,
4801.87,
4952.09,
5096.47,
5235.22,
5368.53,
5496.55,
5619.48,
5737.5,
5850.75,
5959.42,
6063.67,
6163.63,
6259.46,
6351.31,
6439.33,
6523.64,
6604.38,
6681.67,
6755.64,
6826.4,
6894.08,
6958.78,
7020.61,
7079.67,
7136.06,
7074,
