17863.3,
16288.1,
19651.2,
17650.7,
16834.6,
17295.4,
16795.5,
16005.1,
15300,
14609.3,
13923.7,
13205.6,
12471.7,
11737,
11013.9,
10311.1,
9631.48,
8977.78,
8354.82,
7764.54,
7206.08,
6679.18,
6183.72,
5718.86,
5283.34,
4875.8,
4494.9,
4139.12,
3807.06,
3497.22,
3208.19,
2938.6,
2687.12,
2452.5,
2233.54,
2029.17,
1838.33,
1660.07,
1493.5,
1337.78,
1192.14,
1055.86,
928.285,
808.795,
696.823,
591.851,
493.39,
400.997,
314.256,
232.785,
156.232,
84.2679,
16.5914,
-47.0777,
-107.001,
-163.417,
-216.55,
-266.607,
-313.78,
-358.248,
-400.177,
-439.722,
-477.026,
-512.223,
-545.439,
-576.789,
-606.382,
-634.32,
-660.697,
-685.602,
-709.118,
-731.322,
-752.288,
-772.082,
-790.769,
-808.409,
-825.058,
-840.769,
-855.591,
-869.571,
-882.754,
-895.179,
-906.888,
-917.915,
-928.296,
-938.063,
-947.247,
-955.877,
-963.981,
-971.584,
-978.712,
-985.386,
-991.63,
-997.464,
-1002.91,
-1007.98,
-1012.7,
-1017.08,
-1021.14,
-1024.89,
-1028.36,
-1031.54,
-1034.46,
-1037.13,
-1039.55,
-1041.75,
-1043.72,
-1045.49,
-1047.05,
-1048.43,
-1049.62,
-1050.64,
-1051.49,
-1052.19,
-1052.73,
-1043.58,
