-8326.62,
-7116.3,
-8317.04,
-9546.53,
-9357.7,
-8997.81,
-9070.25,
-9354.34,
-9513.74,
-9418.91,
-9288.75,
-9222.92,
-9185.56,
-9155.73,
-9139.68,
-9123.21,
-9112.71,
-9099.25,
-9071.31,
-9030.12,
-8968.33,
-8880.66,
-8785.13,
-8687.03,
-8582.41,
-8475.1,
-8359.95,
-8235.16,
-8100.83,
-7956.34,
-7802.93,
-7642.59,
-7474.26,
-7296.66,
-7111.58,
-6920.73,
-6723.74,
-6520.94,
-6312.44,
-6098.63,
-5880.98,
-5660.11,
-5436.26,
-5209.79,
-4980.46,
-4750.2,
-4520.11,
-4290.49,
-4061.61,
-3833.42,
-3606.81,
-3382.49,
-3160.32,
-2940.61,
-2723.77,
-2510.12,
-2299.93,
-2093.37,
-1890.65,
-1691.96,
-1497.53,
-1307.45,
-1121.77,
-940.5,
-763.702,
-591.466,
-423.839,
-260.814,
-102.33,
51.6206,
201.072,
346.08,
486.709,
623.015,
755.045,
882.88,
1006.61,
1126.32,
1242.09,
1354.03,
1462.23,
1566.77,
1667.73,
1765.22,
1859.33,
1950.16,
2037.8,
2122.36,
2203.91,
2282.55,
2358.37,
2431.45,
2501.88,
2569.75,
2635.14,
2698.12,
2758.78,
2817.19,
2873.43,
2927.57,
2979.67,
3029.81,
3078.04,
3124.45,
3169.08,
3212,
3253.26,
3292.92,
3331.04,
3367.67,
3402.85,
3436.65,
3469.1,
3500.25,
3530.14,
3499.45,
