0,
0.00622781,
0.012459,
0.0187005,
0.0249591,
0.0312408,
0.0375521,
0.0438996,
0.0502897,
0.0567281,
0.0632201,
0.069771,
0.0763863,
0.0830713,
0.0898308,
0.0966692,
0.103591,
0.110599,
0.117699,
0.124892,
0.132183,
0.139573,
0.147065,
0.15466,
0.162362,
0.17017,
0.178088,
0.186115,
0.194253,
0.202502,
0.210864,
0.219337,
0.227923,
0.236621,
0.245431,
0.254351,
0.263382,
0.272522,
0.281771,
0.291128,
0.30059,
0.310159,
0.31983,
0.329604,
0.339478,
0.349452,
0.359522,
0.369688,
0.379948,
0.3903,
0.400741,
0.411272,
0.421888,
0.43259,
0.443374,
0.45424,
0.465185,
0.476208,
0.487306,
0.498479,
0.509725,
0.521041,
0.532427,
0.54388,
0.555399,
0.566983,
0.57863,
0.590338,
0.602107,
0.613935,
0.62582,
0.637761,
0.649757,
0.661807,
0.673909,
0.686063,
0.698268,
0.710521,
0.722823,
0.735172,
0.747567,
0.760008,
0.772493,
0.785022,
0.797593,
0.810206,
0.82286,
0.835554,
0.848288,
0.861061,
0.873872,
0.88672,
0.899605,
0.912526,
0.925483,
0.938475,
0.951501,
0.96456,
0.977653,
0.990779,
1.00394,
1.01713,
1.03035,
1.0436,
1.05688,
1.07019,
1.08353,
1.0969,
1.1103,
1.12372,
1.13718,
1.15066,
1.16416,
1.1777,
1.19126,
1.20484,
